Last Updated (UTC),Ticker,Name,Price,Currency,Last Dividend,Last Dividend Date,Frequency,Current Yield (%),Median Annualized Yield %,Mean Annualized Yield %,Std Dev %,Valuation
2026-07-01T15:40:53.953814Z,BETZ,Roundhill Sports Betting & iGam,18.9307,USD,0.959,2025-12-30,Monthly,60.79,0.6005,0.5765,0.2933372802764762,Underpriced
2026-07-01T15:40:58.870388Z,DRAG,Roundhill ETF Trust Roundhill C,28.6253,USD,0.975261,2025-12-30,Monthly,40.884,12.3222,12.3222,,Unknown
2026-07-01T15:41:15.186475Z,SQY,Tidal Trust II YieldMax SQ Opti,10.49,USD,0.2534,2026-06-25,Monthly,28.988,45.5564,57.21207058823529,26.49802612419378,Fair Price
2026-07-01T15:41:02.631199Z,KLIP,KRANESHARES KWEB COVERED CALL S,23.205,USD,0.508,2026-05-28,Monthly,26.27,47.30915,49.454709375,36.38039545507069,Fair Price
2026-07-01T15:41:03.266799Z,MAGX,Roundhill Daily 2X Long Magnifi,53.6,USD,1.171,2025-12-30,Monthly,26.216,9.9644,9.9644,,Unknown
2026-07-01T15:41:13.766436Z,SNOY,YieldMax SNOW Option Income Str,10.615,USD,0.202,2026-06-25,Monthly,22.836,55.8754,58.9016,22.641455814437883,Overpriced
2026-07-01T15:41:04.900393Z,MRNY,YieldMax MRNA Option Income Str,19.86,USD,0.358,2026-06-25,Monthly,21.631,60.7268,65.80602857142857,25.79688243331242,Overpriced
2026-07-01T15:40:55.531321Z,CHAT,Roundhill Generative AI & Techn,94.89,USD,1.681,2025-12-29,Monthly,21.258,,,,Unknown
2026-07-01T15:41:15.787956Z,SVOL,Simplify Volatility Premium ETF,16.0601,USD,0.28,2026-06-25,Monthly,20.921,16.314999999999998,16.483789130434783,2.4433572993120443,Underpriced
2026-07-01T15:41:14.705044Z,SPYT,Defiance S&P 500 Target Income ,17.29,USD,0.3,2026-06-01,Monthly,20.821,20.5643,20.54089411764706,0.3579736276434829,Fair Price
2026-07-01T15:41:11.872926Z,QQQT,Defiance Nasdaq 100 Income Targ,18.57,USD,0.321,2026-06-01,Monthly,20.743,20.7337,20.758738461538464,0.4679296217354022,Fair Price
2026-07-01T15:41:21.468450Z,XPAY,Roundhill S&P 500 Target 20 Man,53.58,USD,0.9,2026-06-10,Monthly,20.157,21.33195,21.253570000000003,1.2233417202709769,Fair Price
2026-07-01T15:41:00.038306Z,FIAT,YieldMax Short COIN Option Inco,21.43,USD,0.341,2026-06-25,Monthly,19.095,99.7633,93.42324615384616,22.23652956419592,Overpriced
