Ticker,Ex-Div Date,Dividend,Price on Ex-Date,Annualized Yield %,Frequency,Source
AMAX.TO,2024-02-28,0.147,12.837,13.742,monthly,yfinance
AMAX.TO,2024-03-27,0.147,14.995,11.764,monthly,yfinance
AMAX.TO,2024-04-29,0.157,16.704,11.279,monthly,yfinance
AMAX.TO,2024-05-31,0.165,17.176,11.527,monthly,yfinance
AMAX.TO,2024-06-28,0.167,16.709,11.994,monthly,yfinance
AMAX.TO,2024-07-31,0.167,18.599,10.775,monthly,yfinance
AMAX.TO,2024-08-30,0.166,18.05,11.036,monthly,yfinance
AMAX.TO,2024-09-27,0.166,18.958,10.507,monthly,yfinance
AMAX.TO,2024-10-31,0.166,19.697,10.113,monthly,yfinance
AMAX.TO,2024-11-29,0.167,18.542,10.808,monthly,yfinance
AMAX.TO,2024-12-31,0.168,17.426,11.569,monthly,yfinance
AMAX.TO,2025-01-31,0.167,19.853,10.094,monthly,yfinance
AMAX.TO,2025-02-28,0.168,20.31,9.926,monthly,yfinance
AMAX.TO,2025-03-31,0.17,23.003,8.868,monthly,yfinance
AMAX.TO,2025-04-30,0.18,23.576,9.162,monthly,yfinance
AMAX.TO,2025-05-30,0.195,23.736,9.859,monthly,yfinance
AMAX.TO,2025-06-30,0.205,24.507,10.038,monthly,yfinance
AMAX.TO,2025-07-31,0.21,24.65,10.223,monthly,yfinance
AMHE.TO,2024-09-27,0.16,11.045,17.383,monthly,yfinance
AMHE.TO,2024-10-31,0.16,11.325,16.954,monthly,yfinance
AMHE.TO,2024-11-29,0.16,12.974,14.799,monthly,yfinance
AMHE.TO,2024-12-31,0.16,13.892,13.821,monthly,yfinance
AMHE.TO,2025-01-31,0.16,15.477,12.405,monthly,yfinance
AMHE.TO,2025-02-28,0.16,13.53,14.191,monthly,yfinance
AMHE.TO,2025-03-31,0.16,11.847,16.207,monthly,yfinance
AMHE.TO,2025-04-30,0.16,10.892,17.627,monthly,yfinance
AMHE.TO,2025-05-30,0.16,12.154,15.797,monthly,yfinance
AMHE.TO,2025-06-30,0.16,13.04,14.724,monthly,yfinance
AMHE.TO,2025-07-31,0.16,14.25,13.474,monthly,yfinance
AMZH.TO,2024-09-27,0.14,11.096,15.14,monthly,yfinance
AMZH.TO,2024-10-31,0.14,11.362,14.786,monthly,yfinance
AMZH.TO,2024-11-29,0.14,12.619,13.313,monthly,yfinance
AMZH.TO,2024-12-31,0.14,13.547,12.401,monthly,yfinance
AMZH.TO,2025-01-31,0.14,14.635,11.479,monthly,yfinance
AMZH.TO,2025-02-28,0.14,13.222,12.706,monthly,yfinance
AMZH.TO,2025-03-31,0.14,11.934,14.078,monthly,yfinance
AMZH.TO,2025-04-30,0.14,11.118,15.111,monthly,yfinance
AMZH.TO,2025-05-30,0.14,12.143,13.835,monthly,yfinance
AMZH.TO,2025-06-30,0.14,12.848,13.076,monthly,yfinance
AMZH.TO,2025-07-31,0.14,13.81,12.165,monthly,yfinance
BANK.TO,2022-02-25,0.07,5.922,14.185,monthly,yfinance
BANK.TO,2022-03-30,0.07,5.915,14.2,monthly,yfinance
BANK.TO,2022-04-28,0.07,5.427,15.479,monthly,yfinance
BANK.TO,2022-05-30,0.07,5.414,15.515,monthly,yfinance
BANK.TO,2022-06-29,0.07,4.873,17.239,monthly,yfinance
BANK.TO,2022-07-28,0.07,4.943,16.995,monthly,yfinance
BANK.TO,2022-08-30,0.07,4.904,17.13,monthly,yfinance
BANK.TO,2022-09-28,0.07,4.736,17.735,monthly,yfinance
BANK.TO,2022-10-28,0.07,4.926,17.051,monthly,yfinance
BANK.TO,2022-11-29,0.07,5.204,16.143,monthly,yfinance
BANK.TO,2022-12-29,0.07,4.978,16.874,monthly,yfinance
BANK.TO,2023-01-30,0.07,5.435,15.456,monthly,yfinance
BANK.TO,2023-02-27,0.07,5.509,15.247,monthly,yfinance
BANK.TO,2023-03-30,0.07,5.107,16.449,monthly,yfinance
BANK.TO,2023-04-27,0.07,5.377,15.623,monthly,yfinance
BANK.TO,2023-05-30,0.07,5.237,16.04,monthly,yfinance
BANK.TO,2023-06-29,0.093,5.268,21.186,monthly,yfinance
BANK.TO,2023-07-28,0.093,5.533,20.169,monthly,yfinance
BANK.TO,2023-08-30,0.093,5.261,21.211,monthly,yfinance
BANK.TO,2023-09-28,0.093,5.126,21.772,monthly,yfinance
BANK.TO,2023-10-30,0.093,4.782,23.338,monthly,yfinance
BANK.TO,2023-11-29,0.093,5.198,21.47,monthly,yfinance
BANK.TO,2023-12-28,0.1,5.681,21.123,monthly,yfinance
BANK.TO,2024-01-30,0.1,5.731,20.937,monthly,yfinance
BANK.TO,2024-02-28,0.1,5.747,20.881,monthly,yfinance
BANK.TO,2024-03-27,0.1,6.057,19.812,monthly,yfinance
BANK.TO,2024-04-29,0.1,5.784,20.748,monthly,yfinance
BANK.TO,2024-05-31,0.1,5.979,20.069,monthly,yfinance
BANK.TO,2024-06-28,0.1,5.806,20.667,monthly,yfinance
BANK.TO,2024-07-31,0.1,6.133,19.565,monthly,yfinance
BANK.TO,2024-08-30,0.1,6.432,18.658,monthly,yfinance
BANK.TO,2024-09-27,0.1,6.819,17.597,monthly,yfinance
BANK.TO,2024-10-31,0.11,6.888,19.165,monthly,yfinance
BANK.TO,2024-11-29,0.11,7.463,17.688,monthly,yfinance
BANK.TO,2024-12-31,0.11,7.311,18.056,monthly,yfinance
BANK.TO,2025-01-31,0.11,7.355,17.946,monthly,yfinance
BANK.TO,2025-02-28,0.11,7.434,17.757,monthly,yfinance
BANK.TO,2025-03-31,0.11,7.346,17.969,monthly,yfinance
BANK.TO,2025-04-30,0.11,7.366,17.921,monthly,yfinance
BANK.TO,2025-05-30,0.11,7.808,16.907,monthly,yfinance
BANK.TO,2025-06-30,0.11,8.051,16.395,monthly,yfinance
BANK.TO,2025-07-31,0.11,8.125,16.246,monthly,yfinance
