Ticker,Ex-Div Date,Dividend,Price on Ex-Date,Frequency,Source,Scraped At,Annualized Yield %
ABNY,2024-08-07,0.795,15.171,monthly,yfinance,2025-08-11 19:51:19Z,62.883132291872656
ABNY,2024-09-06,0.462,15.425,monthly,yfinance,2025-08-11 19:51:20Z,35.94165316045381
ABNY,2024-10-17,0.8,16.43,monthly,yfinance,2025-08-11 19:51:20Z,58.42970176506391
ABNY,2024-11-14,0.863,15.71,monthly,yfinance,2025-08-11 19:51:21Z,65.91979630808402
ABNY,2024-12-12,0.396,15.51,monthly,yfinance,2025-08-11 19:51:21Z,30.63829787234043
ABNY,2025-01-08,0.422,14.47,monthly,yfinance,2025-08-11 19:51:22Z,34.99654457498272
ABNY,2025-02-06,0.403,14.465,monthly,yfinance,2025-08-11 19:51:22Z,33.432423090217775
ABNY,2025-03-06,0.481,13.708,monthly,yfinance,2025-08-11 19:51:23Z,42.106798949518534
ABNY,2025-04-03,0.367,11.45,monthly,yfinance,2025-08-11 19:51:23Z,38.462882096069876
ABNY,2025-05-01,0.602,11.5,monthly,yfinance,2025-08-11 19:51:24Z,62.81739130434782
ABNY,2025-05-29,0.387,11.627,monthly,yfinance,2025-08-11 19:51:25Z,39.94151543820418
ABNY,2025-06-26,0.323,11.53,monthly,yfinance,2025-08-11 19:51:25Z,33.61665221162186
ABNY,2025-07-24,0.375,11.85,monthly,yfinance,2025-08-11 19:51:26Z,37.9746835443038
ABNY,2025-08-21,0.297,10.32,monthly,yfinance,2025-08-25 09:04:53Z,34.53488372093023
AIYY,2024-01-05,1.349,17.860001,monthly,yfinance,2025-08-11 19:51:27Z,90.638292797408
AIYY,2024-02-07,0.402,16.833,monthly,yfinance,2025-08-11 19:51:27Z,28.65799322758867
AIYY,2024-03-06,1.063,16.309999,monthly,yfinance,2025-08-11 19:51:28Z,78.20969210359853
AIYY,2024-04-04,0.725,13.25,monthly,yfinance,2025-08-11 19:51:28Z,65.66037735849056
AIYY,2024-05-06,0.408,12.27,monthly,yfinance,2025-08-11 19:51:29Z,39.90220048899756
