Ticker,Median Annualized Yield %,Mean Annualized Yield %,Std Dev %
CONY,260.0457,263.12665217391304,152.6380373347646
MSTY,229.7856,237.35080588235294,130.61735903251662
TSLY,174.1176,192.1560909090909,100.6716819223117
FIAT,151.4203,152.35535384615383,68.00489892786663
SMCY,149.3213,157.2238,51.39329661800262
NVDY,133.0851,139.3532962962963,69.48496860011956
CRSH,112.26605,114.42828125,38.15638401849628
MRNY,109.6681,117.57838095238097,64.70310924760585
ULTY,108.2482,151.84598571428572,94.99046756329614
YBIT,108.205,109.5953625,50.40724765298305
USOY,106.1115,112.06391428571429,39.0924253818855
PLTY,100.97905,103.76246,37.9264204547056
AIYY,97.66499999999999,123.672045,57.540484359499125
SQY,86.1906,112.68466470588234,63.615048724996484
KLIP,79.9034,94.722396875,101.13453574536561
AMDY,79.31285,109.02632272727273,54.62022451769807
SNOY,78.7267,83.60549999999999,31.905908339858136
YETH,78.3284,100.15932666666666,74.03808430913362
YMAX,72.36789999999999,76.37316851851853,19.49971279347104
BITO,70.7707,76.17788064516128,46.34706758355138
NFLY,70.29945000000001,75.36704166666667,32.92448884528666
DIPS,68.81085,68.72974166666667,22.03138533243627
OARK,67.9633,79.36064545454545,35.77181629257952
AMZY,65.06784999999999,61.958483333333334,17.60058479099282
FBY,61.42915,65.65812083333334,27.68114508954927
BABO,60.58515,64.33995833333333,29.50712504027885
TSMY,60.242000000000004,61.718075,13.376809428880676
YMAG,60.217150000000004,57.70717962962963,23.769321521455588
GDXY,56.80745,52.194742857142856,14.667870299541644
PYPY,56.522999999999996,65.46735,31.620175593301038
QQQY,56.3261,76.69613157894737,62.87312640492803
YBTC,52.6535,61.53536818181818,36.901834764568584
ABNY,44.3907,55.53162307692308,20.794272495295193
DISO,42.9861,45.20453043478261,14.897110411035326
GOOY,41.64,42.388180000000006,11.891645458366979
QDTE,39.7832,47.23571111111111,21.646793001297016
WDTE,37.7281,51.843621818181816,40.382666653742575
MSFO,35.763,39.48680869565217,12.450321719571347
APLY,33.336,36.9523,12.486724504171496
XDTE,30.335250000000002,32.494927777777775,12.049184577544015
JPMO,30.3034,32.27661739130435,10.876969057627814
XOMO,29.26365,29.840958333333333,7.052271341293661
YQQQ,27.26415,26.77135,6.32355511854469
SPYT,23.1724,23.595029411764706,1.8020986681383113
QQQT,22.9214,23.046492307692308,1.4202850326968062
XPAY,22.9066,23.053350000000002,1.1269565655141975
SVOL,21.678150000000002,22.837154347826086,4.937456584999862
MAXI,18.6355,39.6032,69.15423623632901
TLTW,17.8643,22.995397222222223,12.597254875283314
BIGY,12.51005,12.57395,0.4230682282023611
SOXY,12.38935,12.5484875,0.5110587342189047
DRAG,12.3222,12.3222,
MAGX,9.9644,9.9644,
OZEM,2.6227,2.6227,
DEEP,1.8868,2.7206560975609753,3.037875771739916
NERD,1.0933,0.9891400000000001,0.5221584175324573
BETZ,0.6056,0.5795333333333333,0.29147549353819324
METV,0.12060000000000001,0.12060000000000001,0.06208397538817887
